dpt_code;dpt_libelle;dpt_latitude;dpt_longitude
01;AIN;45.9405;5.8287954
01;AIN;45.93849;5.8252354
01;AIN;45.937588;5.8296313
01;AIN;45.93245;5.8234186
01;AIN;45.925903;5.822576
01;AIN;45.913597;5.829355
01;AIN;45.903694;5.8263116
01;AIN;45.90039;5.824876
01;AIN;45.877205;5.8151503
01;AIN;45.860645;5.807526
01;AIN;45.85789;5.8054056
01;AIN;45.845802;5.8011127
01;AIN;45.84256;5.800251
01;AIN;45.8298;5.7958508
01;AIN;45.823227;5.7869368
01;AIN;45.820072;5.785323
01;AIN;45.797234;5.7845964
01;AIN;45.793922;5.7841315
01;AIN;45.78085;5.781381
01;AIN;45.778027;5.780059
01;AIN;45.77247;5.7830434
01;AIN;45.768944;5.7826166
01;AIN;45.758717;5.7795186
01;AIN;45.745213;5.7835865
01;AIN;45.74292;5.780421
01;AIN;45.742588;5.776644
01;AIN;45.740818;5.7696786
01;AIN;45.737556;5.771224
01;AIN;45.72467;5.7748165
01;AIN;45.718475;5.7633095
01;AIN;45.706806;5.7534575
01;AIN;45.70627;5.744183
01;AIN;45.71015;5.7313256
01;AIN;45.70927;5.7277365
01;AIN;45.70817;5.7232857
01;AIN;45.709953;5.7005935
01;AIN;45.706905;5.699893
01;AIN;45.698154;5.7037272
01;AIN;45.695103;5.706278
01;AIN;45.688446;5.709674
01;AIN;45.681686;5.7071915
01;AIN;45.667015;5.685642
01;AIN;45.6602;5.684161
01;AIN;45.653652;5.6878467
01;AIN;45.65048;5.689451
01;AIN;45.64397;5.6878996
01;AIN;45.641426;5.684703
01;AIN;45.638065;5.6763344
01;AIN;45.636684;5.652812
01;AIN;45.627407;5.648327
01;AIN;45.62477;5.646462
01;AIN;45.623028;5.6384134
01;AIN;45.617405;5.63637
01;AIN;45.614044;5.6354637
01;AIN;45.611015;5.627392
01;AIN;45.613274;5.623742
01;AIN;45.616367;5.6217065
01;AIN;45.62542;5.6149054
01;AIN;45.63618;5.604429
01;AIN;45.65261;5.601938
01;AIN;45.66195;5.5818167
01;AIN;45.664646;5.578842
01;AIN;45.667927;5.579382
01;AIN;45.673084;5.56733
01;AIN;45.67411;5.5631385
01;AIN;45.6716;5.5552726
01;AIN;45.673504;5.551749
01;AIN;45.681854;5.5503097
01;AIN;45.684563;5.547243
01;AIN;45.697903;5.54743
01;AIN;45.696686;5.556585
01;AIN;45.684925;5.5657635
01;AIN;45.687595;5.574245
01;AIN;45.694252;5.573557
01;AIN;45.703075;5.5532317
01;AIN;45.7097;5.5526423
01;AIN;45.711903;5.549378
01;AIN;45.713596;5.545545
01;AIN;45.71547;5.527272
01;AIN;45.718338;5.524546
01;AIN;45.73119;5.5175123
01;AIN;45.733387;5.514245
01;AIN;45.744385;5.4981494
01;AIN;45.746613;5.4945993
01;AIN;45.753284;5.4839983
01;AIN;45.778305;5.460403
01;AIN;45.784237;5.4504833
01;AIN;45.786194;5.4470806
01;AIN;45.789143;5.444403
01;AIN;45.79506;5.4391513
01;AIN;45.79743;5.4357457
01;AIN;45.807133;5.4225173
01;AIN;45.82372;5.4227266
01;AIN;45.826393;5.4361305
01;AIN;45.829773;5.435637
01;AIN;45.832306;5.433656
01;AIN;45.834965;5.430264
01;AIN;45.84113;5.417922
01;AIN;45.84804;5.4163117
01;AIN;45.85089;5.414553
01;AIN;45.856876;5.4043727
01;AIN;45.867184;5.381004
01;AIN;45.869656;5.3780217
01;AIN;45.872337;5.3748193
01;AIN;45.882786;5.3549256
01;AIN;45.880512;5.340917
01;AIN;45.87851;5.338771
01;AIN;45.87404;5.335536
01;AIN;45.8708;5.3345084
01;AIN;45.864784;5.3304944
01;AIN;45.85827;5.3141093
01;AIN;45.848133;5.302493
01;AIN;45.817734;5.2910023
01;AIN;45.814186;5.2906184
01;AIN;45.81103;5.2888007
01;AIN;45.803993;5.2783303
01;AIN;45.789375;5.266894
01;AIN;45.78771;5.263109
01;AIN;45.784313;5.2556205
01;AIN;45.782703;5.2516494
01;AIN;45.777374;5.240199
01;AIN;45.7752;5.2362504
01;AIN;45.768845;5.2243376
01;AIN;45.771423;5.2001977
01;AIN;45.771156;5.1955395
01;AIN;45.774513;5.1881094
01;AIN;45.781025;5.1873164
01;AIN;45.784184;5.1848936
01;AIN;45.793392;5.177083
01;AIN;45.79497;5.172723
01;AIN;45.803223;5.1578455
01;AIN;45.804573;5.1441936
01;AIN;45.806;5.139581
01;AIN;45.811626;5.121253
01;AIN;45.809456;5.112518
01;AIN;45.799656;5.113427
01;AIN;45.798576;5.1089573
01;AIN;45.813385;5.1010656
01;AIN;45.812634;5.0968056
01;AIN;45.811836;5.092556
01;AIN;45.8118;5.0875335
01;AIN;45.80993;5.0581546
01;AIN;45.81158;5.054271
01;AIN;45.811825;5.045285
01;AIN;45.80835;5.037802
01;AIN;45.80714;5.0207133
01;AIN;45.805614;5.016686
01;AIN;45.805233;5.0122924
01;AIN;45.810123;5.001203
01;AIN;45.809143;4.996959
01;AIN;45.8078;4.9929166
01;AIN;45.805847;4.9803386
01;AIN;45.807384;4.9703712
01;AIN;45.80904;4.9669237
01;AIN;45.80877;4.9515147
01;AIN;45.80941;4.9468355
01;AIN;45.80404;4.92452
02;AISNE;49.678215;4.126445
02;AISNE;49.67472;4.1262393
02;AISNE;49.650616;4.1248407
02;AISNE;49.64153;4.1172047
02;AISNE;49.63327;4.1156597
02;AISNE;49.632645;4.1103806
02;AISNE;49.62918;4.095947
02;AISNE;49.63595;4.0714498
02;AISNE;49.634937;4.050515
02;AISNE;49.63781;4.047487
02;AISNE;49.637917;4.0423174
02;AISNE;49.625267;4.0385776
02;AISNE;49.619915;4.0262856
02;AISNE;49.614113;4.0314994
02;AISNE;49.600662;4.0475287
02;AISNE;49.59637;4.060571
02;AISNE;49.594162;4.0644197
02;AISNE;49.587986;4.0603695
02;AISNE;49.574604;4.0626397
02;AISNE;49.570724;4.076737
02;AISNE;49.554497;4.059655
02;AISNE;49.551598;4.050418
02;AISNE;49.545082;4.0518827
02;AISNE;49.543144;4.0675287
02;AISNE;49.538967;4.0756154
02;AISNE;49.52186;4.0750756
02;AISNE;49.518593;4.074109
02;AISNE;49.521267;4.0602202
02;AISNE;49.508835;4.0560765
02;AISNE;49.508385;4.0408297
02;AISNE;49.505177;4.0404053
02;AISNE;49.49552;4.0407324
02;AISNE;49.492653;4.0408993
02;AISNE;49.484047;4.0414953
02;AISNE;49.480762;4.041386
02;AISNE;49.47741;4.041357
02;AISNE;49.470734;4.042086
02;AISNE;49.445457;4.0661316
02;AISNE;49.44674;4.0613794
02;AISNE;49.445744;4.0567846
02;AISNE;49.44519;4.047163
02;AISNE;49.43809;4.037556
02;AISNE;49.43545;4.0393834
02;AISNE;49.424606;4.043238
02;AISNE;49.409016;4.049109
02;AISNE;49.405655;4.0479503
02;AISNE;49.39721;4.0401793
02;AISNE;49.384136;4.037075
02;AISNE;49.380684;4.0376644
02;AISNE;49.359917;4.0354753
02;AISNE;49.360195;4.021425
02;AISNE;49.35831;4.0127106
02;AISNE;49.36147;4.011864
02;AISNE;49.367424;4.0081925
02;AISNE;49.378925;3.9866183
02;AISNE;49.37925;3.9814942
02;AISNE;49.377357;3.961287
02;AISNE;49.38001;3.9579306
02;AISNE;49.398415;3.9346955
02;AISNE;49.40114;3.933142
02;AISNE;49.407726;3.9247963
02;AISNE;49.405365;3.921295
02;AISNE;49.395275;3.910301
02;AISNE;49.392788;3.8957162
02;AISNE;49.391556;3.8910124
02;AISNE;49.384003;3.87453
02;AISNE;49.38153;3.8598132
02;AISNE;49.379246;3.8570483
02;AISNE;49.373646;3.8594418
02;AISNE;49.368355;3.8560376
02;AISNE;49.366417;3.8535576
02;AISNE;49.364597;3.847452
02;AISNE;49.3614;3.8488297
02;AISNE;49.35678;3.8560393
02;AISNE;49.350426;3.856814
02;AISNE;49.34495;3.851275
02;AISNE;49.35027;3.8327544
02;AISNE;49.3519;3.828373
02;AISNE;49.356995;3.8237343
02;AISNE;49.357025;3.8184805
02;AISNE;49.35883;3.8030713
02;AISNE;49.35689;3.793167
02;AISNE;49.354717;3.7893505
02;AISNE;49.352867;3.7797804
02;AISNE;49.355824;3.77751
02;AISNE;49.35419;3.7735043
02;AISNE;49.34761;3.7577937
02;AISNE;49.348156;3.7464476
02;AISNE;49.34759;3.7410562
02;AISNE;49.344707;3.741225
02;AISNE;49.338955;3.7420027
02;AISNE;49.335556;3.7361777
02;AISNE;49.334946;3.7313888
02;AISNE;49.33407;3.712323
02;AISNE;49.333355;3.7070243
02;AISNE;49.32861;3.6930404
02;AISNE;49.32683;3.6872885
02;AISNE;49.324753;3.6691303
02;AISNE;49.32172;3.66644
02;AISNE;49.31596;3.647572
02;AISNE;49.313114;3.6448882
02;AISNE;49.303246;3.6425211
02;AISNE;49.30136;3.6383102
02;AISNE;49.298462;3.6403663
02;AISNE;49.29109;3.655922
02;AISNE;49.286777;3.6589708
02;AISNE;49.278637;3.6516473
02;AISNE;49.2708;3.660565
02;AISNE;49.26944;3.6651025
02;AISNE;49.26838;3.6604202
02;AISNE;49.262856;3.6552258
02;AISNE;49.240746;3.6702359
02;AISNE;49.24009;3.6750221
02;AISNE;49.237095;3.6769888
02;AISNE;49.223118;3.6659791
02;AISNE;49.22157;3.6514523
02;AISNE;49.219242;3.6548223
02;AISNE;49.212925;3.6547842
02;AISNE;49.208984;3.662515
02;AISNE;49.20727;3.676652
02;AISNE;49.19875;3.6819153
02;AISNE;49.206642;3.6974545
02;AISNE;49.201458;3.700554
02;AISNE;49.20067;3.7046344
02;AISNE;49.19729;3.7039125
02;AISNE;49.191925;3.697518
02;AISNE;49.18032;3.7064657
02;AISNE;49.17502;3.7258003
02;AISNE;49.178658;3.7406201
02;AISNE;49.177708;3.7511213
02;AISNE;49.161793;3.7488348
02;AISNE;49.15853;3.7486496
02;AISNE;49.156982;3.7443995
02;AISNE;49.156895;3.7395482
02;AISNE;49.155136;3.734813
02;AISNE;49.14705;3.716992
02;AISNE;49.146206;3.7121613
02;AISNE;49.143208;3.7032735
02;AISNE;49.148712;3.6979809
02;AISNE;49.15115;3.695579
02;AISNE;49.1545;3.6838162
02;AISNE;49.153023;3.679229
02;AISNE;49.1488;3.6547482
02;AISNE;49.15136;3.6244273
02;AISNE;49.149776;3.6210864
02;AISNE;49.147545;3.6197977
02;AISNE;49.141056;3.619746
02;AISNE;49.137012;3.6120305
02;AISNE;49.12752;3.6104128
02;AISNE;49.120693;3.5999894
02;AISNE;49.11764;3.6015165
02;AISNE;49.115917;3.6133847
02;AISNE;49.107334;3.6200576
02;AISNE;49.104496;3.6225343
02;AISNE;49.086094;3.6322134
02;AISNE;49.08131;3.6390297
02;AISNE;49.077866;3.6385462
02;AISNE;49.072407;3.6320891
02;AISNE;49.071865;3.6073718
02;AISNE;49.069153;3.6039813
02;AISNE;49.062565;3.6005647
02;AISNE;49.06013;3.5907135
02;AISNE;49.059357;3.587686
02;AISNE;49.055935;3.587453
02;AISNE;49.03887;3.585181
02;AISNE;49.035835;3.5866523
02;AISNE;49.033554;3.6146586
02;AISNE;49.03643;3.6157548
02;AISNE;49.04143;3.649946
02;AISNE;49.03776;3.658369
02;AISNE;49.03732;3.6635249
02;AISNE;49.01602;3.6776671
02;AISNE;49.00798;3.6688244
02;AISNE;49.00564;3.6651437
02;AISNE;49.004307;3.660383
02;AISNE;49.004;3.639802
02;AISNE;49.00085;3.6378238
02;AISNE;48.982483;3.624294
02;AISNE;48.966034;3.6211822
02;AISNE;48.965168;3.6166422
02;AISNE;48.965458;3.602917
02;AISNE;48.960247;3.5914607
02;AISNE;48.957623;3.5940723
02;AISNE;48.94669;3.6012287
02;AISNE;48.944653;3.593348
02;AISNE;48.943733;3.5883317
02;AISNE;48.939026;3.5744245
02;AISNE;48.935562;3.5745192
02;AISNE;48.918617;3.5724094
02;AISNE;48.913498;3.5666554
02;AISNE;48.915035;3.547409
02;AISNE;48.91214;3.5285506
02;AISNE;48.905594;3.5208862
02;AISNE;48.891125;3.5088618
02;AISNE;48.8715;3.5029817
02;AISNE;48.869106;3.494031
02;AISNE;48.867798;3.4896283
02;AISNE;48.86647;3.481288
02;AISNE;48.860245;3.4844882
02;AISNE;48.85731;3.4867663
02;AISNE;48.854652;3.4856598
02;AISNE;48.851913;3.485162
02;AISNE;48.851604;3.4801292
02;AISNE;48.850548;3.4701772
02;AISNE;48.838474;3.461934
02;AISNE;48.841072;3.4592273
02;AISNE;48.84323;3.4453416
02;AISNE;48.846104;3.445757
02;AISNE;48.8563;3.4522135
02;AISNE;48.858734;3.4484518
02;AISNE;48.86002;3.433127
02;AISNE;48.86757;3.4230409
02;AISNE;48.863712;3.408491
02;AISNE;48.86642;3.3988752
02;AISNE;48.868732;3.4010072
02;AISNE;48.87589;3.4058292
02;AISNE;48.876034;3.4006133
02;AISNE;48.870968;3.387932
02;AISNE;48.872494;3.3832622
02;AISNE;48.885937;3.3824568
02;AISNE;48.89615;3.3697944
02;AISNE;48.90922;3.3755908
02;AISNE;48.928806;3.3674037
02;AISNE;48.91957;3.3616967
02;AISNE;48.907963;3.3301756
02;AISNE;48.918858;3.3169787
02;AISNE;48.92122;3.3130546
02;AISNE;48.924778;3.3127806
02;AISNE;48.935417;3.3122036
02;AISNE;48.94877;3.3047318
02;AISNE;48.94665;3.3009522
02;AISNE;48.940166;3.2837517
02;AISNE;48.937458;3.2694595
02;AISNE;48.939064;3.2651377
02;AISNE;48.94517;3.2598016
02;AISNE;48.9471;3.2612007
02;AISNE;48.948933;3.2628844
02;AISNE;48.95127;3.2590508
02;AISNE;48.96132;3.2555037
02;AISNE;48.96463;3.2549071
02;AISNE;48.976067;3.2459629
02;AISNE;48.976753;3.2311893
