forecast;position;timestamp;2_metre_temperature;minimum_temperature_at_2_metres;maximum_temperature_at_2_metres;relative_humidity;total_water_precipitation;wind_speed;downward_short_wave_radiation_flux;surface_latent_heat_flux;surface_sensible_heat_flux;surface_net_solar_radiation;surface_net_thermal_radiation;dist
2020-10-30T08:00:00;"49.1,6.175";2020-10-30T03:00:00;13.486230000000035;13.482813000000021;13.62392600000004;80.005463;0.009277;3.394242;96791.59375;-275930;238602.0;84804.632813;-249265.0;""
2020-10-30T13:00:00;"49.1,6.175";2020-10-30T03:00:00;13.594385000000045;13.360742000000016;13.792871000000048;83.455849;0.186523;3.98182;1027445.75;-1012698;151248.0;902065.5;-433879.0;""
2020-10-30T19:00:00;"49.1,6.175";2020-10-30T03:00:00;13.106348000000025;13.10927700000002;13.239404000000036;83.999985;0.186523;1.511093;1331793.625;-1373153;82542.0;1168755.375;-652111.0;""
2020-10-31T00:00:00;"49.1,6.175";2020-10-30T03:00:00;12.284082000000012;12.28017600000004;12.575829999999996;87.263206;0.186523;1.603292;1331793.625;-1408597;64634.0;1168755.375;-823772.0;""
2020-10-31T08:00:00;"49.1,6.175";2020-10-30T03:00:00;10.21523400000001;10.04604500000005;10.217188000000021;87.057831;0.186523;1.184285;1797660.5;-1410608;-52007.0;1572893.75;-1880257.0;""
2020-10-30T08:00:00;"49.1,6.2";2020-10-30T03:00:00;13.09267600000004;13.092188000000021;13.241113000000041;82.630463;0.015137;3.683304;101367.59375;-493146;513162.0;86468.632813;-198449.0;""
2020-10-30T13:00:00;"49.1,6.2";2020-10-30T03:00:00;13.224267999999995;13.016992000000016;13.589746000000048;85.955849;0.232422;3.927132;1015925.75;-1432026;744400.0;868785.5;-353495.0;""
2020-10-30T21:00:00;"49.1,6.2";2020-10-30T03:00:00;12.352440999999999;12.36269500000003;12.424707000000012;88.650345;0.232422;1.772629;1381201.625;-1949060;959815.0;1179763.375;-622004.0;""
2020-10-31T00:00:00;"49.1,6.2";2020-10-30T03:00:00;11.976465000000019;11.96767600000004;12.075829999999996;88.919456;0.232422;1.876729;1381201.625;-1971797;998010.0;1179763.375;-722140.0;""
2020-10-30T06:00:00;"49.1,6.225";2020-10-30T03:00:00;12.76796900000005;12.728905999999995;12.902246000000048;84.247734;0.000977;4.074399;0.0;-285635;340730.625;0.0;-98649.0;""
2020-10-30T13:00:00;"49.1,6.225";2020-10-30T03:00:00;12.934229000000016;12.860742000000016;13.417871000000048;87.393349;0.287109;3.849007;962933.75;-1594074;909008.0;817329.5;-277591.0;""
2020-10-30T17:00:00;"49.1,6.225";2020-10-30T03:00:00;12.790430000000015;12.79335900000001;12.92177700000002;85.427155;0.287109;3.088471;1403217.625;-2087695;1045343.0;1188979.375;-417753.0;""
2020-10-30T23:00:00;"49.1,6.225";2020-10-30T03:00:00;11.87050800000003;11.867578000000037;11.981348000000025;90.147461;0.288086;2.408964;1403217.625;-2219689;1239379.0;1188979.375;-609801.0;""
2020-10-31T02:00:00;"49.1,6.225";2020-10-30T03:00:00;11.60488300000003;11.602197000000047;11.802148000000045;87.758194;0.288086;2.239696;1403217.625;-2258226;1316064.0;1188979.375;-740273.0;""
2020-10-31T04:00:00;"49.1,6.225";2020-10-30T03:00:00;10.773340000000019;10.75332000000003;11.035302999999999;89.527;0.288086;1.831777;1403217.625;-2262521;1353024.0;1188979.375;-917497.0;""
